Student Name,DOB,Grade Level,Student ID,School
Priya Anand,09/14/2015,5,S-1001,Lincoln Elementary
Diego Mendez,2015-03-02,5,S-1002,Lincoln Elementary
Grace ONeil,11/22/2016,4,S-1003,Lincoln Elementary
Tobias Vaughn,4/7/2014,6,S-1004,Roosevelt Middle
Nadia Farah,10/30/2015,5,S-1005,Lincoln Elementary
Aaliyah Brooks,07/16/2016,4,,Lincoln Elementary
Sam,,3,S-1007,Lincoln Elementary
Tomas Herrera,notadate,6,S-1008,Roosevelt Middle
Bianca Lowe,01/05/2017,3,S-1009,Lincoln Elementary
Idris Kane,08/19/2014,6,S-1010,Roosevelt Middle
